id	filename	md5	size	state
359426bb-944d-40cc-ac46-0f9b358d0286	C500.TCGA-BT-A20N-11A-11D-A14W-08.3_gdc_realn.bam	7e6bfda92b297b9e434584ff2741fad9	8327812973	live
07809477-c776-4775-a055-05f1b859c69d	C500.TCGA-BT-A20O-11A-11D-A14W-08.3_gdc_realn.bam	27be5045881eb2cb4663017a6669b9b8	8233543801	live
3898ad02-f3f1-4b20-851d-3a2ec6ef2c71	C500.TCGA-BT-A20P-11A-11D-A14W-08.3_gdc_realn.bam	9dff0c3c8df9bceabcc0a3d48bf6cce9	8919003293	live
4258ff2e-da15-4247-aa58-a9de527672ff	C500.TCGA-BT-A20Q-11A-11D-A14W-08.2_gdc_realn.bam	aff3445832f36d0da3371fe5ff04e9bb	8552246047	live
14c76f6f-167a-4bc4-82f1-d2892ae569e7	C500.TCGA-BT-A20R-11A-11D-A16O-08.2_gdc_realn.bam	8d938bd74fa62cd7585c61f659d74afb	9837973343	live
334291f5-0979-4eb4-983b-559e992ba78c	C500.TCGA-BT-A20T-11A-11D-A14W-08.3_gdc_realn.bam	6ade7dbb263158a7e636d4d9531a2d8b	8261091459	live
f3f16ca6-247a-4936-879c-4f6ac4f16c71	C500.TCGA-BT-A20U-11A-11D-A14W-08.3_gdc_realn.bam	c7061b3a0ae98cf1e27981a538309d2b	8790483786	live
dbd56f7b-22c1-4de0-91be-01709e07cb73	C500.TCGA-BT-A20V-11A-11D-A14W-08.2_gdc_realn.bam	2a0c0411a691a2266212929ae2831468	8641866412	live
f56535da-f4e8-4d78-a116-3d0a67ca0027	C500.TCGA-BT-A20W-11A-11D-A14W-08.3_gdc_realn.bam	f122a9ae3df6393b610e6ac773e0f8c2	9328617015	live
41b53a0f-fcd2-4c52-ad08-80105b5197ba	C500.TCGA-BT-A20X-11A-12D-A16O-08.2_gdc_realn.bam	344d21b64503fedd1e3936ddb6c0b049	11304086283	live
c90d92d7-8ced-4720-b553-da5fa805f1ab	C500.TCGA-BT-A2LA-11A-11D-A18F-08.1_gdc_realn.bam	2893012635215412c8c64f85955f5f31	8319102121	live
15e0e037-c45b-4298-9e14-11511e76c51e	C500.TCGA-BT-A2LB-10A-01D-A18F-08.1_gdc_realn.bam	648ab0ea02c60f3068d409b71a4d9a7f	10725006913	live
ee047436-c6a3-431c-aaef-90af2e3e01c4	C500.TCGA-BT-A2LD-10A-01D-A20D-08.1_gdc_realn.bam	08a25726befac26349b2b2384358229c	10796989885	live
aec1bc94-f921-43c8-8db8-06a7fb027278	C500.TCGA-BT-A3PH-10A-01D-A21Z-08.1_gdc_realn.bam	f1ca0ff430c406aeddc51a3ff2e0241d	12442780698	live
eb4e85e7-5460-49f5-80f0-6334770cdb65	C500.TCGA-BT-A3PJ-10A-01D-A21Z-08.1_gdc_realn.bam	390085e8a00d88fbdaa7361f0f2bb4c4	13113212936	live
029529b1-9a8b-4aa6-90da-8ce31fb9426c	C500.TCGA-BT-A3PK-10A-01D-A21Z-08.1_gdc_realn.bam	42ea519e82274a587cabf737dfd2716a	17636871494	live
dd7c1835-24ab-4df5-a643-c1f73d836d0c	C500.TCGA-BT-A42B-10A-01D-A23K-08.3_gdc_realn.bam	470e9b2e419f0d9b7219b602ac087f65	19986642878	live
